,Team,Year,R,RA
DET1993,DET,1993,0.346180255,0.361350797
FLO1993,FLO,1993,0.385574042,0.3535059
HOU1993,HOU,1993,0.344799641,0.378737997
KCA1993,KCA,1993,0.348065844,0.348151706
LAN1993,LAN,1993,0.363923182,0.379042184
MIL1993,MIL,1993,0.346984319,0.35448622
MIN1993,MIN,1993,0.374779541,0.352893054
MON1993,MON,1993,0.343256562,0.412500225
NYA1993,NYA,1993,0.340934723,0.374693791
NYN1993,NYN,1993,0.365648883,0.3347272
OAK1993,OAK,1993,0.385331952,0.357995505
PHI1993,PHI,1993,0.312690343,0.365722396
PIT1993,PIT,1993,0.349564322,0.349829979
SDN1993,SDN,1993,0.390670739,0.346878398
SEA1993,SEA,1993,0.378881152,0.382386719
SFN1993,SFN,1993,0.364686469,0.389354764
SLN1993,SLN,1993,0.382048275,0.385321253
TEX1993,TEX,1993,0.348525172,0.370740248
TOR1993,TOR,1993,0.347632284,0.373749767
ATL1992,ATL,1992,0.358416149,0.442640902
BAL1992,BAL,1992,0.350678575,0.418774466
BOS1992,BOS,1992,0.364898287,0.374863902
CAL1992,CAL,1992,0.39886778,0.409642877
CHA1992,CHA,1992,0.398323798,0.330721059
CHN1992,CHN,1992,0.418785002,0.402382083
CIN1992,CIN,1992,0.365955855,0.372204991
CLE1992,CLE,1992,0.350001832,0.376063284
DET1992,DET,1992,0.365368107,0.332384862
HOU1992,HOU,1992,0.405275341,0.392418866
KCA1992,KCA,1992,0.398583283,0.373711293
LAN1992,LAN,1992,0.398305848,0.356102958
MIL1992,MIL,1992,0.396346346,0.400744011
MIN1992,MIN,1992,0.364610706,0.399060367
MON1992,MON,1992,0.363549764,0.413112769
NYA1992,NYA,1992,0.363557509,0.366299275
NYN1992,NYN,1992,0.416177168,0.380967236
OAK1992,OAK,1992,0.338728404,0.376625686
PHI1992,PHI,1992,0.369542526,0.345842588
PIT1992,PIT,1992,0.38131543,0.423664876
SDN1992,SDN,1992,0.388488705,0.367089836
SEA1992,SEA,1992,0.39414353,0.361539888
SFN1992,SFN,1992,0.391491375,0.392972313
SLN1992,SLN,1992,0.41340416,0.372148639
TEX1992,TEX,1992,0.398790775,0.354934173
TOR1992,TOR,1992,0.396315731,0.415946297
ATL1991,ATL,1991,0.372811395,0.419084225
BAL1991,BAL,1991,0.361246086,0.353976673
BOS1991,BOS,1991,0.395272838,0.385490359
CAL1991,CAL,1991,0.423108918,0.377037798
CHA1991,CHA,1991,0.404785172,0.37683327
CHN1991,CHN,1991,0.333048561,0.346253406
CIN1991,CIN,1991,0.384749772,0.37327366
CLE1991,CLE,1991,0.436063957,0.381894631
DET1991,DET,1991,0.34053372,0.364321921
HOU1991,HOU,1991,0.432904806,0.376181621
KCA1991,KCA,1991,0.386698253,0.38767484
LAN1991,LAN,1991,0.367483524,0.388998143
MIL1991,MIL,1991,0.357677035,0.381139652
MIN1991,MIN,1991,0.352729016,0.37816092
MON1991,MON,1991,0.380630558,0.389512114
NYA1991,NYA,1991,0.375718943,0.34970685
NYN1991,NYN,1991,0.369235248,0.381901044
OAK1991,OAK,1991,0.374902534,0.381300115
PHI1991,PHI,1991,0.403727257,0.376071169
PIT1991,PIT,1991,0.3519648,0.398258483
SDN1991,SDN,1991,0.412396149,0.381951611
SEA1991,SEA,1991,0.385934367,0.370132249
SFN1991,SFN,1991,0.386320835,0.380599394
SLN1991,SLN,1991,0.420578028,0.38667886
TEX1991,TEX,1991,0.35864272,0.375132708
TOR1991,TOR,1991,0.321036448,0.424439257
ATL1990,ATL,1990,0.413652656,0.371671103
BAL1990,BAL,1990,0.357240342,0.356172916
BOS1990,BOS,1990,0.420067182,0.415856408
CAL1990,CAL,1990,0.386884953,0.40460952
CHA1990,CHA,1990,0.335650411,0.399908334
CHN1990,CHN,1990,0.363982823,0.380179922
CIN1990,CIN,1990,0.372338238,0.374924981
CLE1990,CLE,1990,0.38099575,0.340326985
DET1990,DET,1990,0.377580247,0.373301241
HOU1990,HOU,1990,0.409982117,0.380570611
KCA1990,KCA,1990,0.387412477,0.382517587
LAN1990,LAN,1990,0.370556912,0.40305488
MIL1990,MIL,1990,0.369965594,0.363336582
MIN1990,MIN,1990,0.410002595,0.38323257
MON1990,MON,1990,0.369848197,0.370101986
NYA1990,NYA,1990,0.390096841,0.375274028
NYN1990,NYN,1990,0.371445639,0.400126881
OAK1990,OAK,1990,0.367991033,0.418969601
PHI1990,PHI,1990,0.407770516,0.382453556
PIT1990,PIT,1990,0.370718742,0.353109397
SDN1990,SDN,1990,0.394135344,0.396410031
SEA1990,SEA,1990,0.379320988,0.363507625
SFN1990,SFN,1990,0.352521506,0.378873239
SLN1990,SLN,1990,0.405459717,0.388075277
TEX1990,TEX,1990,0.376086639,0.362955868
TOR1990,TOR,1990,0.374064416,0.361097103
ATL1989,ATL,1989,0.38222156,0.357763975
BAL1989,BAL,1989,0.386988212,0.380250513
BOS1989,BOS,1989,0.357849236,0.36478542
CAL1989,CAL,1989,0.384164683,0.4107181
CHA1989,CHA,1989,0.386168697,0.343950311
CHN1989,CHN,1989,0.351804678,0.373733391
CIN1989,CIN,1989,0.428797468,0.359409337
CLE1989,CLE,1989,0.411209222,0.376467701
DET1989,DET,1989,0.41726194,0.32944505
HOU1989,HOU,1989,0.385187093,0.387080404
KCA1989,KCA,1989,0.396224727,0.41544668
LAN1989,LAN,1989,0.420036101,0.423833955
MIL1989,MIL,1989,0.393254405,0.372106766
MIN1989,MIN,1989,0.397530864,0.361955904
MON1989,MON,1989,0.394534302,0.390907309
NYA1989,NYA,1989,0.360017085,0.373925591
NYN1989,NYN,1989,0.370017895,0.419472974
OAK1989,OAK,1989,0.346608947,0.4118835
PHI1989,PHI,1989,0.411091712,0.380484955
PIT1989,PIT,1989,0.374842057,0.363109756
SDN1989,SDN,1989,0.400503827,0.387646432
SEA1989,SEA,1989,0.363397019,0.370658662
SFN1989,SFN,1989,0.359739636,0.406727829
SLN1989,SLN,1989,0.382583359,0.403181162
TEX1989,TEX,1989,0.350661693,0.375419304
TOR1989,TOR,1989,0.35507708,0.407875534
ATL1988,ATL,1988,0.413231982,0.344745277
BAL1988,BAL,1988,0.409147374,0.35206134
BOS1988,BOS,1988,0.395440987,0.409511105
CAL1988,CAL,1988,0.378704568,0.333517478
CHA1988,CHA,1988,0.348377317,0.384239848
CHN1988,CHN,1988,0.411080126,0.378971376
CIN1988,CIN,1988,0.37761262,0.405102339
CLE1988,CLE,1988,0.359841323,0.376864096
DET1988,DET,1988,0.403060956,0.372565575
HOU1988,HOU,1988,0.403155452,0.398162822
KCA1988,KCA,1988,0.3721238,0.389425658
LAN1988,LAN,1988,0.388911427,0.429237271
MIL1988,MIL,1988,0.382897071,0.37678371
MIN1988,MIN,1988,0.357658713,0.404780276
MON1988,MON,1988,0.375757102,0.356823081
NYA1988,NYA,1988,0.345702056,0.353937622
NYN1988,NYN,1988,0.372192601,0.411035832
OAK1988,OAK,1988,0.358139633,0.377838769
PHI1988,PHI,1988,0.406011539,0.331920476
PIT1988,PIT,1988,0.363527266,0.396996753
SDN1988,SDN,1988,0.360206621,0.376399646
SEA1988,SEA,1988,0.413080895,0.358461898
SFN1988,SFN,1988,0.4109637,0.405671913
SLN1988,SLN,1988,0.391708317,0.425691885
TEX1988,TEX,1988,0.3797888,0.398800017
TOR1988,TOR,1988,0.371624355,0.394172113
ATL1987,ATL,1987,0.369178578,0.301058673
BAL1987,BAL,1987,0.364011245,0.329194725
BOS1987,BOS,1987,0.353889915,0.372008979
CAL1987,CAL,1987,0.36007696,0.375466999
CHA1987,CHA,1987,0.365451905,0.395359613
CHN1987,CHN,1987,0.371048999,0.355735455
CIN1987,CIN,1987,0.362699652,0.335845154
CLE1987,CLE,1987,0.382433197,0.349039566
DET1987,DET,1987,0.34447753,0.356789672
HOU1987,HOU,1987,0.379858253,0.39116501
KCA1987,KCA,1987,0.415030648,0.392408569
LAN1987,LAN,1987,0.377768057,0.358344765
MIL1987,MIL,1987,0.34646673,0.344855463
MIN1987,MIN,1987,0.369316507,0.361033811
MON1987,MON,1987,0.349002849,0.382887517
NYA1987,NYA,1987,0.375775522,0.410827714
NYN1987,NYN,1987,0.344231433,0.35542467
OAK1987,OAK,1987,0.341191067,0.339146286
PHI1987,PHI,1987,0.346980409,0.34909921
PIT1987,PIT,1987,0.338840223,0.379463693
SDN1987,SDN,1987,0.389535743,0.393079624
SEA1987,SEA,1987,0.352696556,0.355905427
SFN1987,SFN,1987,0.345926263,0.352703766
SLN1987,SLN,1987,0.338084952,0.359943935
TEX1987,TEX,1987,0.371232918,0.325430063
TOR1987,TOR,1987,0.369135802,0.373810197
ATL1986,ATL,1986,0.357602383,0.349070051
BAL1986,BAL,1986,0.393823673,0.337784276
BOS1986,BOS,1986,0.385058005,0.362759141
CAL1986,CAL,1986,0.340932823,0.382338298
CHA1986,CHA,1986,0.387374434,0.361548244
CHN1986,CHN,1986,0.379908088,0.344086108
CIN1986,CIN,1986,0.341732443,0.345480999
CLE1986,CLE,1986,0.333001115,0.34071329
DET1986,DET,1986,0.355379189,0.385275098
HOU1986,HOU,1986,0.347411468,0.427138822
KCA1986,KCA,1986,0.392834221,0.37140682
LAN1986,LAN,1986,0.387031232,0.382106947
MIL1986,MIL,1986,0.368852841,0.388494931
MIN1986,MIN,1986,0.388172473,0.367581924
MON1986,MON,1986,0.395155865,0.356980355
NYA1986,NYA,1986,0.360727729,0.381829436
NYN1986,NYN,1986,0.319179768,0.391217271
OAK1986,OAK,1986,0.330521356,0.343957115
PHI1986,PHI,1986,0.350448398,0.368402254
PIT1986,PIT,1986,0.386151612,0.344003527
SDN1986,SDN,1986,0.363576483,0.357469733
SEA1986,SEA,1986,0.371780323,0.335248022
SFN1986,SFN,1986,0.39352294,0.374645411
SLN1986,SLN,1986,0.390880623,0.35673115
TEX1986,TEX,1986,0.373356712,0.379185152
TOR1986,TOR,1986,0.336824224,0.38872103
ATL1985,ATL,1985,0.423073918,0.37532603
BAL1985,BAL,1985,0.339716624,0.346330201
BOS1985,BOS,1985,0.366702454,0.349147921
CAL1985,CAL,1985,0.369729474,0.390715277
CHA1985,CHA,1985,0.361429715,0.350477164
CHN1985,CHN,1985,0.39691538,0.381877763
CIN1985,CIN,1985,0.392025457,0.375208542
CLE1985,CLE,1985,0.375933547,0.320908791
DET1985,DET,1985,0.355085244,0.40329337
HOU1985,HOU,1985,0.379480992,0.366127102
KCA1985,KCA,1985,0.334782542,0.406464012
LAN1985,LAN,1985,0.354956096,0.436403509
MIL1985,MIL,1985,0.403996759,0.346060315
MIN1985,MIN,1985,0.37304089,0.348899624
MON1985,MON,1985,0.382208354,0.396011563
NYA1985,NYA,1985,0.33216118,0.365123283
NYN1985,NYN,1985,0.412461142,0.452942966
OAK1985,OAK,1985,0.380946556,0.347035939
PHI1985,PHI,1985,0.409748829,0.360528681
PIT1985,PIT,1985,0.416039717,0.347457627
SDN1985,SDN,1985,0.36634378,0.425330475
SEA1985,SEA,1985,0.370636515,0.36125449
SFN1985,SFN,1985,0.409472422,0.339432905
SLN1985,SLN,1985,0.350881767,0.429185967
TEX1985,TEX,1985,0.378147115,0.339818808
TOR1985,TOR,1985,0.3244655,0.362261517
ATL1984,ATL,1984,0.366678387,0.35383093
BAL1984,BAL,1984,0.341246533,0.389073982
BOS1984,BOS,1984,0.364106081,0.376236184
CAL1984,CAL,1984,0.400010643,0.395743663
CHA1984,CHA,1984,0.365088456,0.345662238
CHN1984,CHN,1984,0.381505718,0.374220411
CIN1984,CIN,1984,0.383415047,0.366759218
CLE1984,CLE,1984,0.382867232,0.320043569
DET1984,DET,1984,0.334438256,0.377696819
HOU1984,HOU,1984,0.395070636,0.363178522
KCA1984,KCA,1984,0.407501902,0.349038961
LAN1984,LAN,1984,0.408876117,0.41563786
MIL1984,MIL,1984,0.368853015,0.328058625
MIN1984,MIN,1984,0.360033387,0.352620027
MON1984,MON,1984,0.352455668,0.360927961
NYA1984,NYA,1984,0.361575296,0.389616175
NYN1984,NYN,1984,0.343009165,0.429980276
OAK1984,OAK,1984,0.338519188,0.365081581
PHI1984,PHI,1984,0.371673525,0.349239578
PIT1984,PIT,1984,0.397480679,0.378807673
SDN1984,SDN,1984,0.353461031,0.399034696
SEA1984,SEA,1984,0.33230151,0.372555587
SFN1984,SFN,1984,0.332229101,0.318991234
SLN1984,SLN,1984,0.40172688,0.364369796
TEX1984,TEX,1984,0.371610362,0.328218244
TOR1984,TOR,1984,0.334429448,0.385216134
ATL1983,ATL,1983,0.331115745,0.339872685
BAL1983,BAL,1983,0.363440499,0.44030508
BOS1983,BOS,1983,0.37904986,0.368036639
CAL1983,CAL,1983,0.376440614,0.344339847
CHA1983,CHA,1983,0.376757341,0.379301961
CHN1983,CHN,1983,0.341707613,0.332122804
CIN1983,CIN,1983,0.368973307,0.360233003
CLE1983,CLE,1983,0.385013328,0.342368483
DET1983,DET,1983,0.351429376,0.393107147
HOU1983,HOU,1983,0.366559146,0.394851508
KCA1983,KCA,1983,0.381390593,0.3791683
LAN1983,LAN,1983,0.371456483,0.393159281
MIL1983,MIL,1983,0.327144335,0.353299156
MIN1983,MIN,1983,0.379364084,0.335676309
MON1983,MON,1983,0.35691566,0.367072499
NYA1983,NYA,1983,0.333044733,0.3653039
NYN1983,NYN,1983,0.38113795,0.313580247
OAK1983,OAK,1983,0.364354467,0.375232863
PHI1983,PHI,1983,0.394550527,0.356339936
PIT1983,PIT,1983,0.330532606,0.399215059
SDN1983,SDN,1983,0.357932713,0.331194393
SEA1983,SEA,1983,0.404597549,0.359676343
SFN1983,SFN,1983,0.342183766,0.372894415
SLN1983,SLN,1983,0.379470536,0.354668753
TEX1983,TEX,1983,0.400241942,0.393846898
TOR1983,TOR,1983,0.348513083,0.355899058
ATL1982,ATL,1982,0.369077876,0.3484132
BAL1982,BAL,1982,0.336329481,0.366455024
BOS1982,BOS,1982,0.334390832,0.352198154
CAL1982,CAL,1982,0.317386732,0.367507409
CHA1982,CHA,1982,0.35590425,0.362302208
CHN1982,CHN,1982,0.368416247,0.350215048
CIN1982,CIN,1982,0.391697814,0.353925029
CLE1982,CLE,1982,0.38321313,0.353766422
DET1982,DET,1982,0.344993141,0.375533928
HOU1982,HOU,1982,0.344670095,0.372182397
KCA1982,KCA,1982,0.370874276,0.379573669
LAN1982,LAN,1982,0.355335799,0.422153635
MIL1982,MIL,1982,0.345198371,0.351835687
MIN1982,MIN,1982,0.368481876,0.340154359
MON1982,MON,1982,0.381555874,0.398428732
NYA1982,NYA,1982,0.395383865,0.354369267
NYN1982,NYN,1982,0.372955057,0.316095487
OAK1982,OAK,1982,0.353799289,0.34063673
PHI1982,PHI,1982,0.398334077,0.411239476
PIT1982,PIT,1982,0.351391447,0.37118632
SDN1982,SDN,1982,0.349272977,0.347311344
SEA1982,SEA,1982,0.338539,0.347933139
SFN1982,SFN,1982,0.342551318,0.347646773
SLN1982,SLN,1982,0.355247466,0.357311024
TEX1982,TEX,1982,0.398639883,0.34497849
TOR1982,TOR,1982,0.348741727,0.387074902
ATL1981,ATL,1981,0.422950432,0.353971963
BAL1981,BAL,1981,0.37007437,0.403181868
BOS1981,BOS,1981,0.349514736,0.346519597
CAL1981,CAL,1981,0.380748663,0.381597431
CHA1981,CHA,1981,0.411685429,0.377960658
CHN1981,CHN,1981,0.45981642,0.34901754
CIN1981,CIN,1981,0.353328544,0.442887205
CLE1981,CLE,1981,0.384249769,0.403769275
DET1981,DET,1981,0.38781342,0.406303933
HOU1981,HOU,1981,0.394826087,0.468200202
KCA1981,KCA,1981,0.407882915,0.35796772
LAN1981,LAN,1981,0.379867987,0.461646926
MIL1981,MIL,1981,0.369807919,0.382257946
MIN1981,MIN,1981,0.3999038,0.365319865
MON1981,MON,1981,0.369032561,0.413811756
NYA1981,NYA,1981,0.377524776,0.423473637
NYN1981,NYN,1981,0.396880131,0.359435626
OAK1981,OAK,1981,0.349299926,0.419887468
PHI1981,PHI,1981,0.374770156,0.34316452
PIT1981,PIT,1981,0.378855466,0.328635066
SDN1981,SDN,1981,0.427320324,0.373766234
SEA1981,SEA,1981,0.395774648,0.382428895
SFN1981,SFN,1981,0.368630926,0.366801584
SLN1981,SLN,1981,0.352611316,0.386393798
TEX1981,TEX,1981,0.401769912,0.42404211
TOR1981,TOR,1981,0.426191432,0.350797635
ATL1980,ATL,1980,0.374997535,0.357255788
BAL1980,BAL,1980,0.337512461,0.371257716
BOS1980,BOS,1980,0.342082232,0.400562256
CAL1980,CAL,1980,0.391081662,0.337884253
CHA1980,CHA,1980,0.388762698,0.359888513
CHN1980,CHN,1980,0.414485061,0.347408764
CIN1980,CIN,1980,0.370180752,0.383298233
CLE1980,CLE,1980,0.35254065,0.363452602
DET1980,DET,1980,0.338620741,0.347091765
HOU1980,HOU,1980,0.352569686,0.401624443
KCA1980,KCA,1980,0.359946359,0.36625723
LAN1980,LAN,1980,0.301326005,0.402209004
MIL1980,MIL,1980,0.36173144,0.403243909
MIN1980,MIN,1980,0.396124965,0.394598675
MON1980,MON,1980,0.35295478,0.388672987
NYA1980,NYA,1980,0.373703133,0.385601578
NYN1980,NYN,1980,0.377593906,0.377686328
OAK1980,OAK,1980,0.386585322,0.415964771
PHI1980,PHI,1980,0.369584188,0.365766087
PIT1980,PIT,1980,0.371649427,0.351335856
SDN1980,SDN,1980,0.360977028,0.370255718
SEA1980,SEA,1980,0.385497335,0.33286657
SFN1980,SFN,1980,0.396128039,0.356466877
SLN1980,SLN,1980,0.401485496,0.361206747
TEX1980,TEX,1980,0.357061707,0.352793369
TOR1980,TOR,1980,0.379273504,0.335342341
ATL1979,ATL,1979,0.385416667,0.341472805
BAL1979,BAL,1979,0.358779903,0.37926681
BOS1979,BOS,1979,0.376895065,0.370613572
CAL1979,CAL,1979,0.363886876,0.39586052
CHA1979,CHA,1979,0.359024726,0.371506407
CHN1979,CHN,1979,0.404539573,0.395908638
CIN1979,CIN,1979,0.364428685,0.397118694
CLE1979,CLE,1979,0.346355018,0.336761699
DET1979,DET,1979,0.326233766,0.370765583
HOU1979,HOU,1979,0.352465959,0.458211361
KCA1979,KCA,1979,0.366402635,0.342486686
LAN1979,LAN,1979,0.392497369,0.342863784
MIL1979,MIL,1979,0.328769232,0.386486812
MIN1979,MIN,1979,0.368576692,0.361472967
MON1979,MON,1979,0.379449001,0.394675129
NYA1979,NYA,1979,0.38097752,0.37234003
NYN1979,NYN,1979,0.392575963,0.348215993
OAK1979,OAK,1979,0.434695021,0.342233707
PHI1979,PHI,1979,0.406866136,0.41292274
PIT1979,PIT,1979,0.323755678,0.382960841
SDN1979,SDN,1979,0.384845957,0.357639934
SEA1979,SEA,1979,0.384860482,0.350557061
SFN1979,SFN,1979,0.380364491,0.362931729
SLN1979,SLN,1979,0.352269771,0.352658929
TEX1979,TEX,1979,0.341399177,0.362853302
TOR1979,TOR,1979,0.379322498,0.363538713
ATL1978,ATL,1978,0.423004115,0.399851852
BAL1978,BAL,1978,0.35212396,0.436038582
BOS1978,BOS,1978,0.338379012,0.384402051
CAL1978,CAL,1978,0.403682264,0.384328773
CHA1978,CHA,1978,0.400003919,0.37389435
CHN1978,CHN,1978,0.381042689,0.362338858
CIN1978,CIN,1978,0.380526638,0.402535028
CLE1978,CLE,1978,0.42655092,0.379714716
DET1978,DET,1978,0.35878549,0.358941637
HOU1978,HOU,1978,0.388562392,0.405012268
KCA1978,KCA,1978,0.366772353,0.389075444
LAN1978,LAN,1978,0.336930293,0.411546177
MIL1978,MIL,1978,0.359729132,0.394928775
MIN1978,MIN,1978,0.390538687,0.370880221
MON1978,MON,1978,0.395149494,0.385817623
NYA1978,NYA,1978,0.333957708,0.438005316
NYN1978,NYN,1978,0.394807493,0.333887994
OAK1978,OAK,1978,0.435440453,0.379996422
PHI1978,PHI,1978,0.40175322,0.333032294
PIT1978,PIT,1978,0.36244597,0.39494135
SDN1978,SDN,1978,0.377963694,0.392646269
SEA1978,SEA,1978,0.386604235,0.321657674
SFN1978,SFN,1978,0.394528024,0.405141955
SLN1978,SLN,1978,0.408292181,0.398096473
TEX1978,TEX,1978,0.379843717,0.398363025
TOR1978,TOR,1978,0.421918097,0.345501903
ATL1977,ATL,1977,0.38781456,0.350886268
BAL1977,BAL,1977,0.311578365,0.410185194
BOS1977,BOS,1977,0.346148562,0.39659083
CAL1977,CAL,1977,0.368184728,0.377520206
CHA1977,CHA,1977,0.329193728,0.352796593
CHN1977,CHN,1977,0.404874046,0.389156184
CIN1977,CIN,1977,0.3698162,0.397283951
CLE1977,CLE,1977,0.386158992,0.353272426
DET1977,DET,1977,0.371390532,0.336399204
HOU1977,HOU,1977,0.363616558,0.381348528
KCA1977,KCA,1977,0.333569827,0.372843599
LAN1977,LAN,1977,0.34729676,0.391049129
MIL1977,MIL,1977,0.390956162,0.353239732
MIN1977,MIN,1977,0.365893672,0.333626817
MON1977,MON,1977,0.352037501,0.347557703
NYA1977,NYA,1977,0.322935731,0.387736759
NYN1977,NYN,1977,0.353976066,0.334925423
OAK1977,OAK,1977,0.405174272,0.326198907
PHI1977,PHI,1977,0.359619663,0.350165881
PIT1977,PIT,1977,0.356056783,0.401067484
SDN1977,SDN,1977,0.372778848,0.337315333
SEA1977,SEA,1977,0.355947293,0.350350155
SFN1977,SFN,1977,0.364087465,0.361367228
SLN1977,SLN,1977,0.394366551,0.383003158
TEX1977,TEX,1977,0.345381235,0.416624387
TOR1977,TOR,1977,0.388337354,0.305345242
ATL1976,ATL,1976,0.400597372,0.38643739
BAL1976,BAL,1976,0.381688905,0.386659234
BOS1976,BOS,1976,0.369801366,0.372091283
CAL1976,CAL,1976,0.394635241,0.410293283
CHA1976,CHA,1976,0.437962394,0.404452041
CHN1976,CHN,1976,0.366177689,0.403235653
CIN1976,CIN,1976,0.341600664,0.392565434
CLE1976,CLE,1976,0.331666411,0.390509792
DET1976,DET,1976,0.378545421,0.414283086
HOU1976,HOU,1976,0.414390123,0.407661086
KCA1976,KCA,1976,0.399678255,0.397854134
LAN1976,LAN,1976,0.380746426,0.434429211
MIL1976,MIL,1976,0.388449384,0.362239818
MIN1976,MIN,1976,0.401816127,0.369125281
MON1976,MON,1976,0.408418777,0.333417432
NYA1976,NYA,1976,0.367991678,0.358666897
NYN1976,NYN,1976,0.446060424,0.408210565
OAK1976,OAK,1976,0.392137334,0.390494194
PHI1976,PHI,1976,0.385255888,0.393518519
PIT1976,PIT,1976,0.392812304,0.420184205
SDN1976,SDN,1976,0.417370587,0.385252322
SFN1976,SFN,1976,0.416381367,0.426609797
SLN1976,SLN,1976,0.396896897,0.406147081
TEX1976,TEX,1976,0.408008658,0.405684314
ATL1975,ATL,1975,0.398708756,0.34335471
BAL1975,BAL,1975,0.405595824,0.390778714
BOS1975,BOS,1975,0.333035963,0.384105803
CAL1975,CAL,1975,0.387882265,0.41249796
CHA1975,CHA,1975,0.380275947,0.362050838
CHN1975,CHN,1975,0.368948537,0.379603505
CIN1975,CIN,1975,0.34857532,0.338002538
CLE1975,CLE,1975,0.380009507,0.37547975
DET1975,DET,1975,0.422089816,0.366812297
HOU1975,HOU,1975,0.396177302,0.346764251
KCA1975,KCA,1975,0.337645627,0.391418897
LAN1975,LAN,1975,0.35154702,0.406898784
MIL1975,MIL,1975,0.370123457,0.347876917
MIN1975,MIN,1975,0.35878592,0.347826087
MON1975,MON,1975,0.357891169,0.357147969
NYA1975,NYA,1975,0.393437959,0.372236395
NYN1975,NYN,1975,0.371287696,0.379367901
OAK1975,OAK,1975,0.402043969,0.373174048
PHI1975,PHI,1975,0.344394054,0.364677838
PIT1975,PIT,1975,0.385486278,0.38848981
SDN1975,SDN,1975,0.417606012,0.393913924
SFN1975,SFN,1975,0.372557706,0.399977784
SLN1975,SLN,1975,0.375437881,0.374580391
TEX1975,TEX,1975,0.372341529,0.386615128
ATL1974,ATL,1974,0.382892624,0.407152742
BAL1974,BAL,1974,0.377473859,0.400984355
BOS1974,BOS,1974,0.407815382,0.383229674
CAL1974,CAL,1974,0.416621995,0.384196618
CHA1974,CHA,1974,0.378556309,0.398730461
CHN1974,CHN,1974,0.392690398,0.365572594
CIN1974,CIN,1974,0.380083486,0.414941713
CLE1974,CLE,1974,0.39920182,0.400754261
DET1974,DET,1974,0.372799681,0.348910108
HOU1974,HOU,1974,0.396829448,0.420827473
KCA1974,KCA,1974,0.414172543,0.39621797
LAN1974,LAN,1974,0.368625625,0.401147673
MIL1974,MIL,1974,0.354408762,0.354975683
MIN1974,MIN,1974,0.379948769,0.392491311
MON1974,MON,1974,0.419564279,0.344876485
NYA1974,NYA,1974,0.404399183,0.385638983
NYN1974,NYN,1974,0.355823189,0.38971066
OAK1974,OAK,1974,0.380541671,0.391987585
PHI1974,PHI,1974,0.391938783,0.373249855
PIT1974,PIT,1974,0.382209521,0.398275525
SDN1974,SDN,1974,0.425492344,0.347449055
SFN1974,SFN,1974,0.373193909,0.35057118
SLN1974,SLN,1974,0.368780792,0.410942496
TEX1974,TEX,1974,0.375173283,0.409154817
ATL1973,ATL,1973,0.369251119,0.379814043
BAL1973,BAL,1973,0.375664795,0.397559049
BOS1973,BOS,1973,0.405065409,0.391617532
CAL1973,CAL,1973,0.390360949,0.396311329
CHA1973,CHA,1973,0.414451261,0.402758077
CHN1973,CHN,1973,0.393408461,0.368934617
CIN1973,CIN,1973,0.375237153,0.413936118
CLE1973,CLE,1973,0.375453885,0.344019968
DET1973,DET,1973,0.383735241,0.379034326
HOU1973,HOU,1973,0.380186244,0.401980106
KCA1973,KCA,1973,0.373354591,0.366594431
LAN1973,LAN,1973,0.37831733,0.385392767
MIL1973,MIL,1973,0.361634233,0.35987401
MIN1973,MIN,1973,0.379353608,0.390280454
MON1973,MON,1973,0.381151168,0.350063197
NYA1973,NYA,1973,0.430952794,0.415907711
NYN1973,NYN,1973,0.415743723,0.437020451
OAK1973,OAK,1973,0.377182316,0.396217793
PHI1973,PHI,1973,0.409580401,0.359273034
PIT1973,PIT,1973,0.358112374,0.389690556
SDN1973,SDN,1973,0.38145872,0.370248682
SFN1973,SFN,1973,0.378547921,0.38064085
SLN1973,SLN,1973,0.38902329,0.361003624
TEX1973,TEX,1973,0.356459044,0.365323855
ATL1972,ATL,1972,0.430310691,0.354076187
BAL1972,BAL,1972,0.41657283,0.429054666
BOS1972,BOS,1972,0.378689516,0.420665973
CAL1972,CAL,1972,0.420179054,0.433601646
CHA1972,CHA,1972,0.420448809,0.426326462
CHN1972,CHN,1972,0.407065319,0.414043775
CIN1972,CIN,1972,0.367893411,0.397526283
CLE1972,CLE,1972,0.404280748,0.385640532
DET1972,DET,1972,0.418008048,0.406590687
HOU1972,HOU,1972,0.379564263,0.374748985
KCA1972,KCA,1972,0.422279445,0.391195043
LAN1972,LAN,1972,0.403203712,0.453375773
MIL1972,MIL,1972,0.420463411,0.406130144
MIN1972,MIN,1972,0.414145445,0.430962495
MON1972,MON,1972,0.422766821,0.391145218
NYA1972,NYA,1972,0.406185209,0.412021791
NYN1972,NYN,1972,0.413170163,0.413406086
OAK1972,OAK,1972,0.369081742,0.42922352
PHI1972,PHI,1972,0.401858082,0.404048052
PIT1972,PIT,1972,0.362570822,0.406155838
SDN1972,SDN,1972,0.403353691,0.425593395
SFN1972,SFN,1972,0.405145697,0.37795119
SLN1972,SLN,1972,0.394298483,0.409487179
TEX1972,TEX,1972,0.481547736,0.382103565
ATL1971,ATL,1971,0.384896506,0.373318989
BAL1971,BAL,1971,0.363522041,0.404719388
BOS1971,BOS,1971,0.387959836,0.382910397
CAL1971,CAL,1971,0.436314658,0.374185528
CHA1971,CHA,1971,0.41602137,0.415338007
CHN1971,CHN,1971,0.373500397,0.40087258
CIN1971,CIN,1971,0.38625,0.362587108
CLE1971,CLE,1971,0.423379488,0.361635844
